id,begin_idx,end_idx,notes
sub1_3v3_e_n_5,63,234,tilt
sub1_3v3_f_n_1,34,149,"also ""old"" test file"
sub1_3v3_f_n_2,61,177,"also ""old"" test file"
sub1_3v3_f_n_3,18,129,"tilt; also ""old"" test file"
sub1_3v3_f_n_4,37,107,"tilt; also ""old"" test file"
sub1_3v3_f_n_5,33,127,"wobble; also ""old"" test file"
sub1_3v3_g_n_1,86,217,tilt
sub1_3v3_g_n_2,31,219,
sub1_3v3_g_n_3,27,150,
sub1_3v3_g_n_4,30,143,
sub1_3v3_g_n_5,28,147,
sub1_3v3_h_n_1,19,179,
sub1_3v3_h_n_2,53,194,
sub1_3v3_h_n_3,28,136,
sub1_3v3_h_n_4,15,132,
sub1_3v3_h_n_5,33,180,
sub1_3v3_n_cw_1,,,
sub1_3v3_n_cw_2,,,
sub1_3v3_n_cw_3,,,
sub1_3v3_n_cw_4,,,
sub1_3v3_n_cw_5,,,
sub1_3v3_n_ccw_1,,,
sub1_3v3_n_ccw_2,,,
sub1_3v3_n_ccw_3,,,
sub1_3v3_n_ccw_4,,,
sub1_3v3_n_ccw_5,,,
sub1_2v3_a_n_1,38,168,
sub1_2v3_a_n_2,19,95,slip
sub1_2v3_a_n_3,20,128,
sub1_2v3_a_n_4,19,127,
sub1_2v3_a_n_5,57,133,
sub1_2v3_b_n_1,7,124,
sub1_2v3_b_n_2,16,115,
sub1_2v3_b_n_3,62,146,
sub1_2v3_b_n_4,2,105,
sub1_2v3_b_n_5,55,130,
sub1_2v3_c_n_1,0,94,tilt & wobble
sub1_2v3_c_n_2,16,106,tilt & wobble
sub1_2v3_c_n_3,5,116,tilt & wobble
sub1_2v3_c_n_4,42,146,tilt
sub1_2v3_c_n_5,35,135,
sub1_2v3_d_n_1,18,152,wobble
sub1_2v3_d_n_2,11,159,
sub1_2v3_d_n_3,12,242,would you take a look at this one?
sub1_2v3_d_n_4,88,267,tilt
sub1_2v3_d_n_5,44,196,tilt & wobble
sub1_2v3_e_n_1,9,152,
sub1_2v3_e_n_2,14,107,
sub1_2v3_e_n_3,8,136,tilt
sub1_2v3_e_n_4,34,134,
sub1_2v3_e_n_5,74,160,tilt & wobble
sub1_2v3_f_n_1,9,131,
sub1_2v3_f_n_2,16,174,tilt
sub1_2v3_f_n_3,13,116,
sub1_2v3_f_n_4,16,121,
sub1_2v3_f_n_5,158,267,
sub1_2v3_g_n_1,1,76,tilt
sub1_2v3_g_n_2,40,165,
sub1_2v3_g_n_3,8,99,
sub1_2v3_g_n_4,17,78,tilt & wobble
sub1_2v3_g_n_5,17,110,
sub1_2v3_h_n_1,10,121,
sub1_2v3_h_n_2,7,99,
sub1_2v3_h_n_3,10,139,
sub1_2v3_h_n_4,25,152,
sub1_2v3_h_n_5,40,149,
sub1_2v3_n_cw_1,,,
sub1_2v3_n_cw_2,,,
sub1_2v3_n_cw_3,,,
sub1_2v3_n_cw_4,,,
sub1_2v3_n_cw_5,,,
sub1_2v3_n_ccw_1,,,
sub1_2v3_n_ccw_2,,,
sub1_2v3_n_ccw_3,,,
sub1_2v3_n_ccw_4,,,
sub1_2v3_n_ccw_5,,,
sub1_barrett_a_n_1,30,279,tilt
sub1_barrett_a_n_2,47,190,
sub1_barrett_a_n_3,66,264,
sub1_barrett_a_n_4,35,201,
sub1_barrett_a_n_5,20,99,would you take a look at this one?
sub1_barrett_b_n_1,27,248,tilt
sub1_barrett_b_n_2,30,127,tilt
sub1_barrett_b_n_3,22,152,tilt
sub1_barrett_b_n_4,30,137,
sub1_barrett_b_n_5,30,104,
sub1_barrett_c_n_1,56,165,tilt
sub1_barrett_c_n_2,48,177,
sub1_barrett_c_n_3,19,111,
sub1_barrett_c_n_4,37,113,
sub1_barrett_c_n_5,35,117,
sub1_barrett_d_n_1,33,169,tilt & wobble
sub1_barrett_d_n_2,45,172,tilt & wobble
sub1_barrett_d_n_3,30,213,wobble
sub1_barrett_d_n_4,21,144,tilt & wobble
sub1_barrett_d_n_5,55,176,
sub1_barrett_e_n_1,48,180,tilt
sub1_barrett_e_n_2,23,152,tilt
sub1_barrett_e_n_3,31,183,tilt
sub1_barrett_e_n_4,28,150,tilt
sub1_barrett_e_n_5,30,141,tilt
sub1_barrett_f_n_1,39,143,tilt
sub1_barrett_f_n_2,23,98,tilt
sub1_barrett_f_n_3,28,143,tilt
sub1_barrett_f_n_4,34,144,
sub1_barrett_f_n_5,78,141,big tilt & wobble
sub1_barrett_g_n_1,27,144,tilt & wobble
sub1_barrett_g_n_2,24,126,wobble
sub1_barrett_g_n_3,29,136,
sub1_barrett_g_n_4,22,84,tilt
sub1_barrett_g_n_5,98,192,
sub1_barrett_h_n_1,69,142,tilt & wobble
sub1_barrett_h_n_2,31,160,
sub1_barrett_h_n_3,37,157,
sub1_barrett_h_n_4,41,151,
sub1_barrett_h_n_5,107,221,tilt
sub1_barrett_n_cw_1,,,
sub1_barrett_n_cw_2,,,
sub1_barrett_n_cw_3,,,
sub1_barrett_n_cw_4,,,
sub1_barrett_n_cw_5,,,
sub1_barrett_n_ccw_1,,,
sub1_barrett_n_ccw_2,,,
sub1_barrett_n_ccw_3,,,
sub1_barrett_n_ccw_4,,,
sub1_barrett_n_ccw_5,,,
sub1_modelvf_a_n_1,54,575,
